23.61.127.8
PING 23.61.127.8 (23.61.127.8) 56(84) bytes of data.
64 bytes from 18.160.199.67: icmp_seq=46 ttl=244 time=9.52 ms
64 bytes from 18.160.199.67: icmp_seq=47 ttl=244 time=9.42 ms
64 bytes from 18.160.199.67: icmp_seq=48 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=49 ttl=244 time=9.40 ms
64 bytes from 18.160.199.67: icmp_seq=50 ttl=244 time=9.36 ms
64 bytes from 18.160.199.67: icmp_seq=51 ttl=244 time=9.39 ms
64 bytes from 18.160.199.67: icmp_seq=52 ttl=244 time=9.40 ms
64 bytes from 18.160.199.67: icmp_seq=53 ttl=244 time=9.51 ms
64 bytes from 18.160.199.67: icmp_seq=54 ttl=244 time=9.43 ms
64 bytes from 18.160.199.67: icmp_seq=55 ttl=244 time=9.36 ms
64 bytes from 18.160.199.67: icmp_seq=56 ttl=244 time=9.44 ms
64 bytes from 18.160.199.67: icmp_seq=57 ttl=244 time=9.36 ms
64 bytes from 18.160.199.67: icmp_seq=58 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=59 ttl=244 time=9.43 ms
64 bytes from 18.160.199.67: icmp_seq=60 ttl=244 time=9.44 ms
64 bytes from 18.160.199.67: icmp_seq=61 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=62 ttl=244 time=9.37 ms
64 bytes from 18.160.199.67: icmp_seq=63 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=64 ttl=244 time=9.36 ms
64 bytes from 18.160.199.67: icmp_seq=65 ttl=244 time=9.42 ms
64 bytes from 18.160.199.67: icmp_seq=66 ttl=244 time=9.73 ms
64 bytes from 18.160.199.67: icmp_seq=67 ttl=244 time=9.47 ms
64 bytes from 18.160.199.67: icmp_seq=68 ttl=244 time=9.41 ms
64 bytes from 18.160.199.67: icmp_seq=69 ttl=244 time=9.42 ms
64 bytes from 18.160.199.67: icmp_seq=70 ttl=244 time=9.41 ms
64 bytes from 18.160.199.67: icmp_seq=71 ttl=244 time=9.40 ms
64 bytes from 18.160.199.67: icmp_seq=72 ttl=244 time=9.38 ms
64 bytes from 18.160.199.67: icmp_seq=73 ttl=244 time=9.39 ms
64 bytes from 18.160.199.67: icmp_seq=74 ttl=244 time=9.39 ms
64 bytes from 18.160.199.67: icmp_seq=75 ttl=244 time=9.39 ms
